city                pt_cross  real(both)  TOUCH(one)   anom  tiles
a_coruna               57608       57600           8      0  475
almere                 96515       96513           2      0  500
amsterdam              69231       69227           4      0  285
barcelona              37779       37777           2      0  67
berlin                162989      162977          12      0  464
bologna                69907       69906           1      0  685
bruges                 25390       25387           3      0  176
budapest               91401       91400           1      0  611
cergy                 133583      133570          13      0  633
copenhagen            100102      100096           6      0  530
edinburgh              56235       56230           5      0  465
eisenhuttenstadt       43377       43375           2      0  616
espoo                  32976       32976           0      0  146
glasgow                77750       77745           5      0  548
hamburg               126908      126892          16      0  680
helsinki               90141       90130          11      0  331
karlsruhe             126766      126759           7      0  627
krakow                102221      102205          16      0  616
lisbon                 68306       68304           2      0  296
ljubljana              85125       85122           3      0  672
lodz                   81188       81182           6      0  609
lyon                   11026       11026           0      0  98
madrid                  5294        5294           0      0  73
malmo                  46802       46800           2      0  369
manchester            127458      127451           7      0  586
mannheim              135748      135745           3      0  636
milton_keynes          11416       11416           0      0  42
munich                 60389       60385           4      0  170
paris                  25436       25434           2      0  143
prague                 72527       72519           8      0  252
rome                   23189       23188           1      0  236
rotterdam             116939      116930           9      0  411
singapore              90884       90879           5      0  369
tallinn                44132       44130           2      0  341
toledo                 16387       16387           0      0  210
turin                  88653       88647           6      0  696
tychy                 129857      129848           9      0  615
umea                    6614        6613           1      0  36
valencia               52144       52144           0      0  326
vienna                 56301       56300           1      0  306
warsaw                 71037       71035           2      0  412
TOTAL                2927731     2927544         187      0
